field,label,description,temporal,category,subcategory,identifier
77730-0,"Oxycodone [Mass/volume] in Serum, Plasma or Blood by Confirmatory method","Oxycodone [Mass/volume] in Serum, Plasma or Blood by Confirmatory method",1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
50021-5,"Oxycodone [Mass/volume] in Serum, Plasma or Blood by Screen method","Oxycodone [Mass/volume] in Serum, Plasma or Blood by Screen method",1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
11246-6,Oxycodone [Mass/volume] in Urine,Oxycodone [Mass/volume] in Urine,1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
16249-5,Oxycodone [Mass/volume] in Urine by Confirmatory method,Oxycodone [Mass/volume] in Urine by Confirmatory method,1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
57865-8,Oxycodone [Moles/volume] in Unspecified specimen,Oxycodone [Moles/volume] in Unspecified specimen,1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
70215-9,Oxycodone [Moles/volume] in Urine by Confirmatory method,Oxycodone [Moles/volume] in Urine by Confirmatory method,1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
72402-1,Oxycodone [Presence] in Blood by Screen method,Oxycodone [Presence] in Blood by Screen method,1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
14863-5,Oxycodone [Presence] in Gastric fluid,Oxycodone [Presence] in Gastric fluid,1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
73753-6,Oxycodone [Presence] in Hair,Oxycodone [Presence] in Hair,1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
73996-1,Oxycodone [Presence] in Meconium by Screen method,Oxycodone [Presence] in Meconium by Screen method,1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
74657-8,Oxycodone [Presence] in Saliva (oral fluid) by Confirmatory method,Oxycodone [Presence] in Saliva (oral fluid) by Confirmatory method,1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
69356-4,Oxycodone [Presence] in Saliva (oral fluid) by Screen method,Oxycodone [Presence] in Saliva (oral fluid) by Screen method,1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
13576-4,Oxycodone [Presence] in Serum or Plasma,Oxycodone [Presence] in Serum or Plasma,1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
32101-8,Oxycodone [Presence] in Unspecified specimen,Oxycodone [Presence] in Unspecified specimen,1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
10998-3,Oxycodone [Presence] in Urine,Oxycodone [Presence] in Urine,1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
19643-6,Oxycodone [Presence] in Urine by Confirmatory method,Oxycodone [Presence] in Urine by Confirmatory method,1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
19642-8,Oxycodone [Presence] in Urine by Screen method,Oxycodone [Presence] in Urine by Screen method,1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
78873-7,Oxycodone [Z-score] in Urine,Oxycodone [Z-score] in Urine,1,Laboratory,Oxycodone|ANYProp|ANYTm|ANYSys|ANYMeth,0
77731-8,"Oxycodone+Oxymorphone [Interpretation] in Serum, Plasma or Blood Qualitative by Confirmatory method","Oxycodone+Oxymorphone [Interpretation] in Serum, Plasma or Blood Qualitative by Confirmatory method",1,Laboratory,Oxycodone+oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
74658-6,Oxycodone+Oxymorphone [Presence] in Saliva (oral fluid) by Confirmatory method,Oxycodone+Oxymorphone [Presence] in Saliva (oral fluid) by Confirmatory method,1,Laboratory,Oxycodone+Oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
71430-3,Oxycodone+Oxymorphone [Presence] in Saliva (oral fluid) by Screen method,Oxycodone+Oxymorphone [Presence] in Saliva (oral fluid) by Screen method,1,Laboratory,Oxycodone+Oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
77732-6,"Oxycodone+Oxymorphone [Presence] in Serum, Plasma or Blood by Screen method","Oxycodone+Oxymorphone [Presence] in Serum, Plasma or Blood by Screen method",1,Laboratory,Oxycodone+oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
61197-0,Oxycodone+Oxymorphone [Presence] in Urine by Confirmatory method,Oxycodone+Oxymorphone [Presence] in Urine by Confirmatory method,1,Laboratory,Oxycodone+Oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
58430-0,Oxycodone+Oxymorphone [Presence] in Urine by Screen method,Oxycodone+Oxymorphone [Presence] in Urine by Screen method,1,Laboratory,Oxycodone+Oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
69028-9,Oxymorphone [Mass/mass] in Meconium by Confirmatory method,Oxymorphone [Mass/mass] in Meconium by Confirmatory method,1,Laboratory,Oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
72766-9,Oxymorphone [Mass/volume] in Saliva (oral fluid) by Confirmatory method,Oxymorphone [Mass/volume] in Saliva (oral fluid) by Confirmatory method,1,Laboratory,Oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
60467-8,Oxymorphone [Mass/volume] in Serum or Plasma,Oxymorphone [Mass/volume] in Serum or Plasma,1,Laboratory,Oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
77729-2,"Oxymorphone [Mass/volume] in Serum, Plasma or Blood by Confirmatory method","Oxymorphone [Mass/volume] in Serum, Plasma or Blood by Confirmatory method",1,Laboratory,Oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
19648-5,Oxymorphone [Mass/volume] in Urine,Oxymorphone [Mass/volume] in Urine,1,Laboratory,Oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
17395-5,Oxymorphone [Mass/volume] in Urine by Confirmatory method,Oxymorphone [Mass/volume] in Urine by Confirmatory method,1,Laboratory,Oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
74659-4,Oxymorphone [Presence] in Saliva (oral fluid) by Confirmatory method,Oxymorphone [Presence] in Saliva (oral fluid) by Confirmatory method,1,Laboratory,Oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
12342-2,Oxymorphone [Presence] in Serum or Plasma,Oxymorphone [Presence] in Serum or Plasma,1,Laboratory,Oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
11247-4,Oxymorphone [Presence] in Urine,Oxymorphone [Presence] in Urine,1,Laboratory,Oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
18325-1,Oxymorphone [Presence] in Urine by Confirmatory method,Oxymorphone [Presence] in Urine by Confirmatory method,1,Laboratory,Oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
19646-9,Oxymorphone [Presence] in Urine by Screen method,Oxymorphone [Presence] in Urine by Screen method,1,Laboratory,Oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
78874-5,Oxymorphone [Z-score] in Urine,Oxymorphone [Z-score] in Urine,1,Laboratory,Oxymorphone|ANYProp|ANYTm|ANYSys|ANYMeth,0
60110-4,Oxyphenbutazone [Mass/volume] in Blood,Oxyphenbutazone [Mass/volume] in Blood,1,Laboratory,Oxyphenbutazone|MCnc|Pt|ANYBldSerPlas,0
3900-8,Oxyphenbutazone [Mass/volume] in Serum or Plasma,Oxyphenbutazone [Mass/volume] in Serum or Plasma,1,Laboratory,Oxyphenbutazone|MCnc|Pt|ANYBldSerPlas,0
10891-0,Oxyphenisatin [Mass/mass] in Stool,Oxyphenisatin [Mass/mass] in Stool,1,Laboratory,Oxyphenisatin|ANYProp|ANYTm|ANYSys|ANYMeth,0
27031-4,Oxyphenisatin [Mass/volume] in Urine,Oxyphenisatin [Mass/volume] in Urine,1,Laboratory,Oxyphenisatin|ANYProp|ANYTm|ANYSys|ANYMeth,0
60117-9,Palladium [Mass/volume] in Blood,Palladium [Mass/volume] in Blood,1,Laboratory,Palladium|MCnc|Pt|ANYBldSerPlas,0
60119-5,Palladium [Mass/volume] in Serum or Plasma,Palladium [Mass/volume] in Serum or Plasma,1,Laboratory,Palladium|MCnc|Pt|ANYBldSerPlas,0
41040-7,Palmitoylcarnitine (C16) [Moles/volume] in Blood,Palmitoylcarnitine (C16) [Moles/volume] in Blood,1,Laboratory,Palmitoylcarnitine (C16)|SCnc|Pt|ANYBldSerPlas,0
30356-0,Palmitoylcarnitine (C16) [Moles/volume] in Serum or Plasma,Palmitoylcarnitine (C16) [Moles/volume] in Serum or Plasma,1,Laboratory,Palmitoylcarnitine (C16)|SCnc|Pt|ANYBldSerPlas,0
8086-1,Pancreatic islet cell Ab [Units/volume] in Serum,Pancreatic islet cell Ab [Units/volume] in Serum,1,Laboratory,Pancreatic islet cell Ab|ACnc|Pt|ANYBldSerPlas,0
45171-6,Pancreatic islet cell Ab [Units/volume] in Serum by Immunofluorescence,Pancreatic islet cell Ab [Units/volume] in Serum by Immunofluorescence,1,Laboratory,Pancreatic islet cell Ab|ACnc|Pt|ANYBldSerPlas,0
31547-3,Pancreatic islet cell Ab [Presence] in Serum,Pancreatic islet cell Ab [Presence] in Serum,1,Laboratory,Pancreatic islet cell Ab|PrThr|Pt|ANYBldSerPlas,0
5265-4,Pancreatic islet cell Ab [Presence] in Serum by Immunofluorescence,Pancreatic islet cell Ab [Presence] in Serum by Immunofluorescence,1,Laboratory,Pancreatic islet cell Ab|PrThr|Pt|ANYBldSerPlas,0
60121-1,Pancuronium [Mass/volume] in Blood,Pancuronium [Mass/volume] in Blood,1,Laboratory,Pancuronium|MCnc|Pt|ANYBldSerPlas,0
60122-9,Pancuronium [Mass/volume] in Serum or Plasma,Pancuronium [Mass/volume] in Serum or Plasma,1,Laboratory,Pancuronium|MCnc|Pt|ANYBldSerPlas,0
60125-2,Papaverine [Mass/volume] in Blood,Papaverine [Mass/volume] in Blood,1,Laboratory,Papaverine|MCnc|Pt|ANYBldSerPlas,0
12550-0,Papaverine [Mass/volume] in Serum or Plasma,Papaverine [Mass/volume] in Serum or Plasma,1,Laboratory,Papaverine|MCnc|Pt|ANYBldSerPlas,0
3903-2,Para hydroxyamphetamine [Mass/time] in 24 hour Urine,Para hydroxyamphetamine [Mass/time] in 24 hour Urine,1,Laboratory,Para hydroxyamphetamine|ANYProp|ANYTm|ANYSys|ANYMeth,0
3902-4,Para hydroxyamphetamine [Mass/volume] in Urine,Para hydroxyamphetamine [Mass/volume] in Urine,1,Laboratory,Para hydroxyamphetamine|ANYProp|ANYTm|ANYSys|ANYMeth,0
20554-2,Para hydroxyamphetamine [Mass/volume] in Urine by Confirmatory method,Para hydroxyamphetamine [Mass/volume] in Urine by Confirmatory method,1,Laboratory,Para hydroxyamphetamine|ANYProp|ANYTm|ANYSys|ANYMeth,0
3901-6,Para hydroxyamphetamine [Presence] in Urine,Para hydroxyamphetamine [Presence] in Urine,1,Laboratory,Para hydroxyamphetamine|ANYProp|ANYTm|ANYSys|ANYMeth,0
19652-7,Para hydroxyamphetamine [Presence] in Urine by Confirmatory method,Para hydroxyamphetamine [Presence] in Urine by Confirmatory method,1,Laboratory,Para hydroxyamphetamine|ANYProp|ANYTm|ANYSys|ANYMeth,0
19651-9,Para hydroxyamphetamine [Presence] in Urine by Screen method,Para hydroxyamphetamine [Presence] in Urine by Screen method,1,Laboratory,Para hydroxyamphetamine|ANYProp|ANYTm|ANYSys|ANYMeth,0
77385-3,Parainfluenza virus 1 Ag [Presence] in Bronchoalveolar lavage by Immunofluorescence,Parainfluenza virus 1 Ag [Presence] in Bronchoalveolar lavage by Immunofluorescence,1,Laboratory,Parainfluenza virus 1 Ag|PrThr|<Sys:ANYResp>,0
38395-0,Parainfluenza virus 1 Ag [Presence] in Nasopharynx by Immunofluorescence,Parainfluenza virus 1 Ag [Presence] in Nasopharynx by Immunofluorescence,1,Laboratory,Parainfluenza virus 1 Ag|PrThr|<Sys:ANYResp>,0
38396-8,Parainfluenza virus 1 Ag [Presence] in Nose by Immunofluorescence,Parainfluenza virus 1 Ag [Presence] in Nose by Immunofluorescence,1,Laboratory,Parainfluenza virus 1 Ag|PrThr|<Sys:ANYResp>,0
31923-6,Parainfluenza virus 1 Ag [Presence] in Throat,Parainfluenza virus 1 Ag [Presence] in Throat,1,Laboratory,Parainfluenza virus 1 Ag|PrThr|<Sys:ANYResp>,0
5868-5,Parainfluenza virus 1 Ag [Presence] in Throat by Immunofluorescence,Parainfluenza virus 1 Ag [Presence] in Throat by Immunofluorescence,1,Laboratory,Parainfluenza virus 1 Ag|PrThr|<Sys:ANYResp>,0
76084-3,Parainfluenza virus 1 RNA [Presence] in Nasopharynx by Probe and target amplification method,Parainfluenza virus 1 RNA [Presence] in Nasopharynx by Probe and target amplification method,1,Laboratory,Parainfluenza virus 1 RNA|PrThr|<Sys:ANYResp>,0
82171-0,Parainfluenza virus 1 RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection,Parainfluenza virus 1 RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection,1,Laboratory,Parainfluenza virus 1 RNA|PrThr|<Sys:ANYResp>,0
77386-1,Parainfluenza virus 2 Ag [Presence] in Bronchoalveolar lavage by Immunofluorescence,Parainfluenza virus 2 Ag [Presence] in Bronchoalveolar lavage by Immunofluorescence,1,Laboratory,Parainfluenza virus 2 Ag|PrThr|<Sys:ANYResp>,0
77391-1,Parainfluenza virus 2 Ag [Presence] in Nasopharynx by Immunofluorescence,Parainfluenza virus 2 Ag [Presence] in Nasopharynx by Immunofluorescence,1,Laboratory,Parainfluenza virus 2 Ag|PrThr|<Sys:ANYResp>,0
31925-1,Parainfluenza virus 2 Ag [Presence] in Throat,Parainfluenza virus 2 Ag [Presence] in Throat,1,Laboratory,Parainfluenza virus 2 Ag|PrThr|<Sys:ANYResp>,0
5870-1,Parainfluenza virus 2 Ag [Presence] in Throat by Immunofluorescence,Parainfluenza virus 2 Ag [Presence] in Throat by Immunofluorescence,1,Laboratory,Parainfluenza virus 2 Ag|PrThr|<Sys:ANYResp>,0
76085-0,Parainfluenza virus 2 RNA [Presence] in Nasopharynx by Probe and target amplification method,Parainfluenza virus 2 RNA [Presence] in Nasopharynx by Probe and target amplification method,1,Laboratory,Parainfluenza virus 2 RNA|PrThr|<Sys:ANYResp>,0
82172-8,Parainfluenza virus 2 RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection,Parainfluenza virus 2 RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection,1,Laboratory,Parainfluenza virus 2 RNA|PrThr|<Sys:ANYResp>,0
77387-9,Parainfluenza virus 3 Ag [Presence] in Bronchoalveolar lavage by Immunofluorescence,Parainfluenza virus 3 Ag [Presence] in Bronchoalveolar lavage by Immunofluorescence,1,Laboratory,Parainfluenza virus 3 Ag|PrThr|<Sys:ANYResp>,0
77392-9,Parainfluenza virus 3 Ag [Presence] in Nasopharynx by Immunofluorescence,Parainfluenza virus 3 Ag [Presence] in Nasopharynx by Immunofluorescence,1,Laboratory,Parainfluenza virus 3 Ag|PrThr|<Sys:ANYResp>,0
31927-7,Parainfluenza virus 3 Ag [Presence] in Throat,Parainfluenza virus 3 Ag [Presence] in Throat,1,Laboratory,Parainfluenza virus 3 Ag|PrThr|<Sys:ANYResp>,0
5872-7,Parainfluenza virus 3 Ag [Presence] in Throat by Immunofluorescence,Parainfluenza virus 3 Ag [Presence] in Throat by Immunofluorescence,1,Laboratory,Parainfluenza virus 3 Ag|PrThr|<Sys:ANYResp>,0
76086-8,Parainfluenza virus 3 RNA [Presence] in Nasopharynx by Probe and target amplification method,Parainfluenza virus 3 RNA [Presence] in Nasopharynx by Probe and target amplification method,1,Laboratory,Parainfluenza virus 3 RNA|PrThr|<Sys:ANYResp>,0
82173-6,Parainfluenza virus 3 RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection,Parainfluenza virus 3 RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection,1,Laboratory,Parainfluenza virus 3 RNA|PrThr|<Sys:ANYResp>,0
76087-6,Parainfluenza virus 4 RNA [Presence] in Nasopharynx by Probe and target amplification method,Parainfluenza virus 4 RNA [Presence] in Nasopharynx by Probe and target amplification method,1,Laboratory,Parainfluenza virus 4 RNA|PrThr|<Sys:ANYResp>,0
82174-4,Parainfluenza virus 4 RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection,Parainfluenza virus 4 RNA [Presence] in Nasopharynx by Target amplification with non-probe based detection,1,Laboratory,Parainfluenza virus 4 RNA|PrThr|<Sys:ANYResp>,0
3904-0,Paraldehyde [Mass/volume] in Blood,Paraldehyde [Mass/volume] in Blood,1,Laboratory,Paraldehyde|MCnc|Pt|ANYBldSerPlas,0
3905-7,Paraldehyde [Mass/volume] in Serum or Plasma,Paraldehyde [Mass/volume] in Serum or Plasma,1,Laboratory,Paraldehyde|MCnc|Pt|ANYBldSerPlas,0
60127-8,Paramethadione [Mass/volume] in Blood,Paramethadione [Mass/volume] in Blood,1,Laboratory,Paramethadione|MCnc|Pt|ANYBldSerPlas,0
10999-1,Paramethadione [Mass/volume] in Serum or Plasma,Paramethadione [Mass/volume] in Serum or Plasma,1,Laboratory,Paramethadione|MCnc|Pt|ANYBldSerPlas,0
34142-0,Paraneoplastic Ab [Presence] in Serum by Immunoblot,Paraneoplastic Ab [Presence] in Serum by Immunoblot,1,Laboratory,Paraneoplastic Ab|PrThr|Pt|ANYBldSerPlas,0
61177-2,Paraneoplastic Ab [Presence] in Serum by Immunofluorescence,Paraneoplastic Ab [Presence] in Serum by Immunofluorescence,1,Laboratory,Paraneoplastic Ab|PrThr|Pt|ANYBldSerPlas,0
60129-4,Paraoxon [Mass/volume] in Blood,Paraoxon [Mass/volume] in Blood,1,Laboratory,Paraoxon|MCnc|Pt|ANYBldSerPlas,0
27279-9,Paraoxon [Mass/volume] in Serum or Plasma,Paraoxon [Mass/volume] in Serum or Plasma,1,Laboratory,Paraoxon|MCnc|Pt|ANYBldSerPlas,0
5708-3,Paraquat [Mass/volume] in Blood,Paraquat [Mass/volume] in Blood,1,Laboratory,Paraquat|MCnc|Pt|ANYBldSerPlas,0
5709-1,Paraquat [Mass/volume] in Serum or Plasma,Paraquat [Mass/volume] in Serum or Plasma,1,Laboratory,Paraquat|MCnc|Pt|ANYBldSerPlas,0
60132-8,Parathion [Mass/volume] in Blood,Parathion [Mass/volume] in Blood,1,Laboratory,Parathion|MCnc|Pt|ANYBldSerPlas,0
2728-4,Parathion [Mass/volume] in Serum or Plasma,Parathion [Mass/volume] in Serum or Plasma,1,Laboratory,Parathion|MCnc|Pt|ANYBldSerPlas,0
13928-7,Parathyrin Ab [Presence] in Serum,Parathyrin Ab [Presence] in Serum,1,Laboratory,Parathyrin Ab|PrThr|Pt|ANYBldSerPlas,0
63301-6,Parathyrin Ab [Presence] in Serum by Immunofluorescence,Parathyrin Ab [Presence] in Serum by Immunofluorescence,1,Laboratory,Parathyrin Ab|PrThr|Pt|ANYBldSerPlas,0
14865-0,Parathyrin [Interpretation] in Serum or Plasma,Parathyrin [Interpretation] in Serum or Plasma,1,Laboratory,Parathyrin|Imp|Pt|ANYBldSerPlas,0
49288-4,Parathyrin [Interpretation] in Serum or Plasma Narrative,Parathyrin [Interpretation] in Serum or Plasma Narrative,1,Laboratory,Parathyrin|Imp|Pt|ANYBldSerPlas,0
31556-4,Parietal cell IgG Ab [Presence] in Serum,Parietal cell IgG Ab [Presence] in Serum,1,Laboratory,Parietal cell Ab.IgG|PrThr|Pt|ANYBldSerPlas,0
29963-6,Parietal cell IgG Ab [Presence] in Serum by Immunofluorescence,Parietal cell IgG Ab [Presence] in Serum by Immunofluorescence,1,Laboratory,Parietal cell Ab.IgG|PrThr|Pt|ANYBldSerPlas,0
8087-9,Parietal cell Ab [Units/volume] in Serum,Parietal cell Ab [Units/volume] in Serum,1,Laboratory,Parietal cell Ab|ACnc|Pt|ANYBldSerPlas,0
56147-2,Parietal cell Ab [Units/volume] in Serum by Immunoassay,Parietal cell Ab [Units/volume] in Serum by Immunoassay,1,Laboratory,Parietal cell Ab|ACnc|Pt|ANYBldSerPlas,0
14241-4,Parietal cell Ab [Presence] in Serum,Parietal cell Ab [Presence] in Serum,1,Laboratory,Parietal cell Ab|PrThr|Pt|ANYBldSerPlas,0
26969-6,Parietal cell Ab [Presence] in Serum by Immunofluorescence,Parietal cell Ab [Presence] in Serum by Immunofluorescence,1,Laboratory,Parietal cell Ab|PrThr|Pt|ANYBldSerPlas,0
27320-1,Parietal cell Ab [Titer] in Serum,Parietal cell Ab [Titer] in Serum,1,Laboratory,Parietal cell Ab|Titr|Pt|ANYBldSerPlas,0
5271-2,Parietal cell Ab [Titer] in Serum by Immunofluorescence,Parietal cell Ab [Titer] in Serum by Immunofluorescence,1,Laboratory,Parietal cell Ab|Titr|Pt|ANYBldSerPlas,0
60136-9,Paroxetine [Mass/volume] in Blood,Paroxetine [Mass/volume] in Blood,1,Laboratory,Paroxetine|MCnc|Pt|ANYBldSerPlas,0
9699-0,Paroxetine [Mass/volume] in Serum or Plasma,Paroxetine [Mass/volume] in Serum or Plasma,1,Laboratory,Paroxetine|MCnc|Pt|ANYBldSerPlas,0
8088-7,PCNA extractable nuclear Ab [Presence] in Serum,PCNA extractable nuclear Ab [Presence] in Serum,1,Laboratory,PCNA extractable nuclear Ab|PrThr|Pt|ANYBldSerPlas,0
5276-1,PCNA extractable nuclear Ab [Presence] in Serum by Immune diffusion (ID),PCNA extractable nuclear Ab [Presence] in Serum by Immune diffusion (ID),1,Laboratory,PCNA extractable nuclear Ab|PrThr|Pt|ANYBldSerPlas,0
5275-3,PCNA extractable nuclear Ab [Presence] in Serum by Immunoassay,PCNA extractable nuclear Ab [Presence] in Serum by Immunoassay,1,Laboratory,PCNA extractable nuclear Ab|PrThr|Pt|ANYBldSerPlas,0
56733-9,PCNA extractable nuclear Ab [Presence] in Serum by Immunoblot,PCNA extractable nuclear Ab [Presence] in Serum by Immunoblot,1,Laboratory,PCNA extractable nuclear Ab|PrThr|Pt|ANYBldSerPlas,0
47074-0,PCNA extractable nuclear Ab [Presence] in Serum by Immunofluorescence,PCNA extractable nuclear Ab [Presence] in Serum by Immunofluorescence,1,Laboratory,PCNA extractable nuclear Ab|PrThr|Pt|ANYBldSerPlas,0
60139-3,Pemoline [Mass/volume] in Blood,Pemoline [Mass/volume] in Blood,1,Laboratory,Pemoline|MCnc|Pt|ANYBldSerPlas,0
3907-3,Pemoline [Mass/volume] in Serum or Plasma,Pemoline [Mass/volume] in Serum or Plasma,1,Laboratory,Pemoline|MCnc|Pt|ANYBldSerPlas,0
60140-1,Penciclovir [Mass/volume] in Blood,Penciclovir [Mass/volume] in Blood,1,Laboratory,Penciclovir|MCnc|Pt|ANYBldSerPlas,0
60141-9,Penciclovir [Mass/volume] in Serum or Plasma,Penciclovir [Mass/volume] in Serum or Plasma,1,Laboratory,Penciclovir|MCnc|Pt|ANYBldSerPlas,0
60142-7,Pendimethalin [Mass/volume] in Blood,Pendimethalin [Mass/volume] in Blood,1,Laboratory,Pendimethalin|MCnc|Pt|ANYBldSerPlas,0
60143-5,Pendimethalin [Mass/volume] in Serum or Plasma,Pendimethalin [Mass/volume] in Serum or Plasma,1,Laboratory,Pendimethalin|MCnc|Pt|ANYBldSerPlas,0
59819-3,Pentacarboxylporphyrins/Creatinine [Molar ratio] in 24 hour Urine,Pentacarboxylporphyrins/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,Pentacarboxylporphyrins/Creatinine|SRto|Urine,0
34353-3,Pentacarboxylporphyrins/Creatinine [Molar ratio] in Urine,Pentacarboxylporphyrins/Creatinine [Molar ratio] in Urine,1,Laboratory,Pentacarboxylporphyrins/Creatinine|SRto|Urine,0
18250-1,Pentacarboxylporphyrins [Mass/volume] in Blood,Pentacarboxylporphyrins [Mass/volume] in Blood,1,Laboratory,Pentacarboxylporphyrins|MCnc|Pt|ANYBldSerPlas,0
10882-9,Pentacarboxylporphyrins [Mass/volume] in Serum or Plasma,Pentacarboxylporphyrins [Mass/volume] in Serum or Plasma,1,Laboratory,Pentacarboxylporphyrins|MCnc|Pt|ANYBldSerPlas,0
42002-6,Pentacarboxylporphyrins [Mass/volume] in 24 hour Urine,Pentacarboxylporphyrins [Mass/volume] in 24 hour Urine,1,Laboratory,Pentacarboxylporphyrins|MCnc|Urine,0
11221-9,Pentacarboxylporphyrins [Mass/volume] in Urine,Pentacarboxylporphyrins [Mass/volume] in Urine,1,Laboratory,Pentacarboxylporphyrins|MCnc|Urine,0
25968-9,Pentacarboxylporphyrins [Moles/volume] in 24 hour Urine,Pentacarboxylporphyrins [Moles/volume] in 24 hour Urine,1,Laboratory,Pentacarboxylporphyrins|SCnc|Urine,0
34352-5,Pentacarboxylporphyrins [Moles/volume] in Urine,Pentacarboxylporphyrins [Moles/volume] in Urine,1,Laboratory,Pentacarboxylporphyrins|SCnc|Urine,0
17429-2,Pentachlorophenol [Mass/volume] in Blood,Pentachlorophenol [Mass/volume] in Blood,1,Laboratory,Pentachlorophenol|MCnc|Pt|ANYBldSerPlas,0
5710-9,Pentachlorophenol [Mass/volume] in Serum or Plasma,Pentachlorophenol [Mass/volume] in Serum or Plasma,1,Laboratory,Pentachlorophenol|MCnc|Pt|ANYBldSerPlas,0
17430-0,Pentane [Mass/volume] in Blood,Pentane [Mass/volume] in Blood,1,Laboratory,Pentane|MCnc|Pt|ANYBldSerPlas,0
60146-8,Pentane [Mass/volume] in Serum or Plasma,Pentane [Mass/volume] in Serum or Plasma,1,Laboratory,Pentane|MCnc|Pt|ANYBldSerPlas,0
3919-8,Pentazocine [Mass/time] in 24 hour Urine,Pentazocine [Mass/time] in 24 hour Urine,1,Laboratory,Pentazocine|ANYProp|ANYTm|ANYSys|ANYMeth,0
60149-2,Pentazocine [Mass/volume] in Blood,Pentazocine [Mass/volume] in Blood,1,Laboratory,Pentazocine|ANYProp|ANYTm|ANYSys|ANYMeth,0
60150-0,Pentazocine [Mass/volume] in Body fluid,Pentazocine [Mass/volume] in Body fluid,1,Laboratory,Pentazocine|ANYProp|ANYTm|ANYSys|ANYMeth,0
3916-4,Pentazocine [Mass/volume] in Serum or Plasma,Pentazocine [Mass/volume] in Serum or Plasma,1,Laboratory,Pentazocine|ANYProp|ANYTm|ANYSys|ANYMeth,0
3918-0,Pentazocine [Mass/volume] in Urine,Pentazocine [Mass/volume] in Urine,1,Laboratory,Pentazocine|ANYProp|ANYTm|ANYSys|ANYMeth,0
59952-2,Pentazocine [Moles/volume] in Gastric fluid,Pentazocine [Moles/volume] in Gastric fluid,1,Laboratory,Pentazocine|ANYProp|ANYTm|ANYSys|ANYMeth,0
55564-9,Pentazocine [Moles/volume] in Serum or Plasma,Pentazocine [Moles/volume] in Serum or Plasma,1,Laboratory,Pentazocine|ANYProp|ANYTm|ANYSys|ANYMeth,0
60328-2,Pentazocine [Moles/volume] in Unspecified specimen,Pentazocine [Moles/volume] in Unspecified specimen,1,Laboratory,Pentazocine|ANYProp|ANYTm|ANYSys|ANYMeth,0
59951-4,Pentazocine [Moles/volume] in Urine,Pentazocine [Moles/volume] in Urine,1,Laboratory,Pentazocine|ANYProp|ANYTm|ANYSys|ANYMeth,0
40393-1,Pentazocine [Presence] in Gastric fluid,Pentazocine [Presence] in Gastric fluid,1,Laboratory,Pentazocine|ANYProp|ANYTm|ANYSys|ANYMeth,0
